,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
0,2025-04-16,Fair,76,55.0,64,0.0832395950506186
1,2025-04-15,Fair,71,59.0,65,0.0939289805269186
2,2025-04-14,Good,84,122.0,65,0.1056410256410256
3,2025-04-13,Fair,73,79.0,65,0.0633245382585752
4,2025-04-12,Fair,70,14.0,63,0.0430528375733855
5,2025-04-11,Fair,71,39.0,64,0.1018998272884283
6,2025-04-10,Fair,68,87.0,64,0.1217208814270724
7,2025-04-09,Fair,79,85.0,65,0.0956607495069033
8,2025-04-08,Fair,78,29.0,66,0.0666666666666666
9,2025-04-07,Good,83,64.0,68,0.0866141732283464
10,2025-04-06,Good,82,72.0,66,0.0713577799801783
11,2025-04-05,Fair,79,106.0,64,0.0625798212005108
12,2025-04-04,Fair,79,119.0,64,0.1065353625783348
13,2025-04-03,Good,80,50.0,64,0.1094819159335288
14,2025-04-02,Fair,79,99.0,64,0.1166500498504486
15,2025-03-31,Good,83,86.0,65,0.0891658676893576
16,2025-03-30,Fair,78,57.0,66,0.0849162011173184
17,2025-03-29,Fair,71,32.0,65,0.0717029449423815
18,2025-03-27,Fair,79,68.0,66,0.0970350404312668
19,2025-03-26,Fair,71,27.0,68,0.0977198697068403
20,2025-03-25,Fair,75,40.0,68,0.0722761596548004
21,2025-03-24,Fair,79,96.0,70,0.0913705583756345
22,2025-03-23,Fair,79,60.0,70,0.0384087791495198
23,2025-03-22,Fair,75,57.0,70,0.0706955530216647
24,2025-03-21,Fair,78,60.0,69,0.056065239551478
25,2025-03-20,Fair,70,67.0,68,0.0706179066834804
26,2025-03-19,Fair,70,72.0,65,0.1080669710806697
27,2025-03-18,Fair,72,52.0,63,0.1465603190428714
28,2025-03-17,Good,82,80.0,62,0.0994102780117944
29,2025-03-16,Fair,67,54.0,63,0.1112299465240641
30,2025-03-15,Fair,78,55.0,64,0.1023255813953488
31,2025-03-14,Good,87,105.0,66,0.0802620802620802
32,2025-03-12,Poor,51,35.0,65,0.1009174311926605
33,2025-03-11,Good,81,61.0,64,0.0963651732882502
34,2025-03-10,Fair,67,13.0,66,0.0921248142644873
35,2025-03-09,Good,88,90.0,66,0.0904761904761904
36,2025-03-08,Poor,48,86.0,64,0.2068126520681265
37,2025-03-07,Fair,74,82.0,63,0.0929965556831228
38,2025-03-06,Good,80,56.0,64,0.0961145194274028
39,2025-03-04,Fair,75,52.0,66,0.1105882352941176
40,2025-03-03,Good,82,42.0,68,0.0976663785652549
41,2025-03-02,Poor,55,62.0,66,0.160337552742616
42,2025-03-01,Fair,74,79.0,64,0.1264822134387351
43,2025-02-28,Good,83,77.0,63,0.1106655974338412
44,2025-02-27,Fair,78,83.0,62,0.1178489702517162
45,2025-02-26,Good,86,102.0,62,0.0865724381625441
46,2025-02-25,Good,89,50.0,63,0.0962264150943396
47,2025-02-24,Fair,72,27.0,64,0.0724094881398252
48,2025-02-23,Fair,70,31.0,64,0.0720288115246098
49,2025-02-22,Fair,73,67.0,66,0.1282758620689655
50,2025-02-21,Fair,74,68.0,66,0.1326623970722781
51,2025-02-20,Fair,70,36.0,68,0.0926130099228225
52,2025-02-19,Fair,77,75.0,66,0.1129032258064516
53,2025-02-18,Fair,70,44.0,68,0.1150652431791221
54,2025-02-17,Fair,68,14.0,66,0.110691823899371
55,2025-02-16,Good,81,51.0,67,0.0679079956188389
56,2025-02-15,Fair,68,22.0,68,0.1086309523809523
57,2025-02-14,Fair,62,68.0,67,0.1153358681875792
58,2025-02-13,Fair,74,66.0,64,0.099403578528827
59,2025-02-12,Fair,78,70.0,64,0.1229508196721311
60,2025-02-11,Fair,76,67.0,65,0.076
61,2025-02-10,Good,86,75.0,66,0.0921052631578947
62,2025-02-09,Fair,75,82.0,66,0.104638619201726
63,2025-02-08,Fair,70,70.0,65,0.1011378002528445
