,date,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2023-08-26,71.1,53.1,91.9,0.0,27.0,3.0,1017.7
1,2023-08-27,77.2,63.0,95.0,0.0,8.0,2.5,1016.9
2,2023-08-28,76.5,57.9,96.1,0.0,356.0,1.9,1015.4
3,2023-08-29,66.9,60.1,75.9,0.11,13.0,4.5,1011.6
4,2023-08-30,58.5,55.9,61.0,0.591,229.0,7.6,1014.2
5,2023-08-31,60.4,57.0,70.0,0.11,357.0,1.3,1011.7
6,2023-09-01,64.9,55.0,79.0,0.0,14.0,1.5,1011.0
7,2023-09-02,68.7,54.0,84.9,0.0,359.0,2.5,1013.1
8,2023-09-03,68.0,63.0,81.0,0.031,45.0,4.6,1009.8
9,2023-09-04,62.1,55.9,66.9,0.031,141.0,5.3,1012.1
10,2023-09-05,60.8,51.1,75.9,0.0,9.0,2.6,1014.2
11,2023-09-06,59.4,50.0,72.0,0.0,15.0,2.7,1012.7
12,2023-09-07,63.0,48.9,79.0,0.0,355.0,3.2,1014.5
13,2023-09-08,66.0,52.0,79.0,0.0,3.0,2.1,1018.4
14,2023-09-09,65.5,50.0,84.9,0.0,9.0,2.0,1020.5
15,2023-09-10,68.0,50.0,87.1,0.0,4.0,0.7,1017.7
16,2023-09-11,68.5,54.0,82.9,0.0,6.0,1.5,1014.4
17,2023-09-12,66.2,55.0,77.0,0.0,269.0,4.5,1013.9
18,2023-09-13,64.8,54.0,78.1,0.0,291.0,4.3,1016.6
19,2023-09-14,62.6,48.0,80.1,0.0,7.0,1.7,1020.0
20,2023-09-15,64.8,48.0,84.0,0.0,8.0,1.9,1017.8
21,2023-09-16,67.3,48.9,89.1,0.0,14.0,1.9,1014.3
22,2023-09-17,67.1,53.1,79.0,0.0,313.0,6.6,1011.6
23,2023-09-18,66.2,53.1,75.0,0.0,232.0,8.9,1010.9
24,2023-09-19,55.4,46.0,66.9,0.0,3.0,4.5,1014.3
25,2023-09-20,52.3,48.9,57.9,0.201,359.0,1.7,1013.9
26,2023-09-21,59.9,51.1,71.1,0.0,9.0,5.2,1016.2
27,2023-09-22,53.4,48.9,57.9,0.0,292.0,4.1,1017.0
28,2023-09-23,58.5,46.0,73.0,0.0,11.0,4.3,1014.6
29,2023-09-24,60.4,53.1,69.1,0.047,35.0,3.2,1015.2
30,2023-09-25,65.1,57.0,79.0,0.012,18.0,4.7,1012.5
31,2023-09-26,56.8,48.9,63.0,0.161,214.0,4.9,1016.3
32,2023-09-27,52.2,48.0,57.9,0.26,283.0,5.7,1015.1
33,2023-09-28,52.0,46.9,59.0,0.102,206.0,5.5,1016.0
34,2023-09-29,49.1,42.1,57.0,0.0,12.0,1.2,1013.0
35,2023-09-30,51.6,44.1,57.9,0.0,24.0,2.1,1013.3
36,2023-10-01,52.9,41.0,66.0,0.0,8.0,1.9,1016.2
37,2023-10-02,57.4,48.0,64.9,0.0,259.0,4.2,1014.0
38,2023-10-03,58.5,54.0,68.0,0.0,322.0,2.0,1016.4
39,2023-10-04,60.6,51.1,72.0,0.0,238.0,4.3,1021.8
40,2023-10-05,60.3,46.9,73.9,0.0,334.0,3.1,1026.8
41,2023-10-06,57.4,44.1,73.9,0.0,1.0,1.5,1025.6
42,2023-10-07,59.0,45.0,78.1,0.0,7.0,0.7,1018.8
43,2023-10-08,61.9,46.9,82.0,0.0,10.0,1.1,1012.1
44,2023-10-09,63.0,48.9,78.1,0.0,340.0,3.9,1004.7
45,2023-10-10,54.9,50.0,57.9,0.165,48.0,2.9,1001.7
46,2023-10-11,51.6,48.9,55.0,0.0,293.0,4.3,1006.4
47,2023-10-12,48.6,42.1,57.0,0.0,8.0,1.6,1018.9
48,2023-10-13,50.4,37.0,66.9,0.0,12.0,0.7,1015.5
49,2023-10-14,55.9,48.0,66.9,0.012,9.0,1.3,1017.8
50,2023-10-15,59.9,53.1,70.0,0.0,3.0,2.1,1021.9
51,2023-10-16,56.7,48.0,66.9,0.031,356.0,2.0,1015.4
52,2023-10-17,53.8,43.0,61.0,0.0,257.0,6.2,1020.8
53,2023-10-18,54.5,39.9,73.0,0.0,14.0,1.7,1020.9
