sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
48988871406,2025-04-16T06:58:30Z,76,,76,,55,64,0.08323959505061868
48977379538,2025-04-15T08:18:30Z,71,,71,,59,65,0.09392898052691867
48967692815,2025-04-14T09:27:30Z,84,,84,,122,65,0.10564102564102563
48959170544,2025-04-13T07:16:00Z,73,,73,,79,65,0.0633245382585752
48948016693,2025-04-12T05:12:30Z,70,,70,,14,63,0.043052837573385516
48939703328,2025-04-11T06:58:30Z,71,,71,,39,64,0.10189982728842832
48929752412,2025-04-10T08:50:30Z,68,,68,,87,64,0.12172088142707241
48921919209,2025-04-09T08:46:00Z,79,,79,,85,65,0.09566074950690336
48909550133,2025-04-08T06:29:00Z,78,,78,,29,66,0.06666666666666667
48899204997,2025-04-07T09:18:30Z,83,,83,,64,68,0.08661417322834646
48889265514,2025-04-06T09:23:30Z,82,,82,,72,66,0.07135777998017839
48878761114,2025-04-05T09:05:00Z,79,,79,,106,64,0.06257982120051085
48869629013,2025-04-04T09:25:30Z,79,,79,,119,64,0.10653536257833482
48859434769,2025-04-03T09:43:30Z,80,,80,,50,64,0.10948191593352884
48848732513,2025-04-02T09:03:30Z,79,,79,,99,64,0.11665004985044865
48828741265,2025-03-31T07:46:30Z,83,,83,,86,65,0.08916586768935762
48817247385,2025-03-30T07:58:00Z,78,,78,,57,66,0.08491620111731843
48805808200,2025-03-29T08:01:00Z,71,,71,,32,65,0.07170294494238157
48788442975,2025-03-27T08:57:00Z,79,,79,,68,66,0.09703504043126684
48774940286,2025-03-26T07:59:30Z,71,,71,,27,68,0.09771986970684039
48766556015,2025-03-25T08:16:00Z,75,,75,,40,68,0.07227615965480043
48756877183,2025-03-24T08:38:00Z,79,,79,,96,70,0.09137055837563451
48746781469,2025-03-23T13:25:30Z,79,,79,,60,70,0.038408779149519894
48728894042,2025-03-22T08:00:30Z,75,,75,,57,70,0.07069555302166476
48726414337,2025-03-21T10:03:30Z,78,,78,,60,69,0.05606523955147808
48712900840,2025-03-20T08:27:00Z,70,,70,,67,68,0.07061790668348046
48705926204,2025-03-19T09:41:00Z,70,,70,,72,65,0.1080669710806697
48693985130,2025-03-18T08:51:30Z,72,,72,,52,63,0.1465603190428714
48684384066,2025-03-17T09:18:30Z,82,,82,,80,62,0.09941027801179445
48673190620,2025-03-16T05:28:30Z,67,,67,,54,63,0.11122994652406418
48661335545,2025-03-15T10:36:30Z,78,,78,,55,64,0.10232558139534884
48653480036,2025-03-14T10:21:30Z,87,,87,,105,66,0.08026208026208026
48629944350,2025-03-12T04:25:00Z,51,,51,,35,65,0.10091743119266056
48624745437,2025-03-11T10:27:00Z,81,,81,,61,64,0.09636517328825021
48612574768,2025-03-10T08:00:30Z,67,,67,,13,66,0.09212481426448738
48601796490,2025-03-09T10:46:30Z,88,,88,,90,66,0.09047619047619047
48588330497,2025-03-08T01:11:00Z,48,,48,,,64,0.20681265206812652
48582687448,2025-03-07T06:09:00Z,74,,74,,82,63,0.09299655568312284
48574288965,2025-03-06T07:57:30Z,80,,80,,56,64,0.09611451942740286
48554936799,2025-03-04T09:47:00Z,75,,75,,52,66,0.11058823529411765
48545270302,2025-03-03T09:13:30Z,82,,82,,42,68,0.09766637856525497
48533986782,2025-03-02T06:17:30Z,55,,55,,62,66,0.16033755274261605
48526086951,2025-03-01T09:14:00Z,74,,74,,79,64,0.12648221343873517
48512968212,2025-02-28T09:18:30Z,83,,83,,77,63,0.11066559743384122
48506386308,2025-02-27T09:10:00Z,78,,78,,83,62,0.11784897025171624
48495384449,2025-02-26T09:37:00Z,86,,86,,102,62,0.08657243816254417
48486695681,2025-02-25T09:45:00Z,89,,89,,50,63,0.09622641509433963
48474716704,2025-02-24T05:57:30Z,72,,72,,27,64,0.07240948813982521
48466528854,2025-02-23T09:39:30Z,70,,70,,31,64,0.07202881152460984
48455202097,2025-02-22T08:00:00Z,73,,73,,67,66,0.12827586206896552
48446815647,2025-02-21T09:34:30Z,74,,74,,68,66,0.13266239707227814
48436318999,2025-02-20T07:49:30Z,70,,70,,36,68,0.0926130099228225
48425656758,2025-02-19T09:13:00Z,77,,77,,75,66,0.11290322580645161
48415960537,2025-02-18T08:34:30Z,70,,70,,44,68,0.11506524317912219
48405725966,2025-02-17T08:32:30Z,68,,68,,14,66,0.11069182389937107
48394043177,2025-02-16T09:00:30Z,81,,81,,51,67,0.06790799561883899
48383764506,2025-02-15T05:58:00Z,68,,68,,22,68,0.10863095238095238
48376896145,2025-02-14T07:41:30Z,62,,62,,68,67,0.11533586818757921
48366959353,2025-02-13T08:30:30Z,74,,74,,66,64,0.09940357852882704
48354582678,2025-02-12T08:56:30Z,78,,78,,70,64,0.12295081967213115
48348386858,2025-02-11T06:58:00Z,76,,76,,67,65,0.076
48338235868,2025-02-10T09:14:00Z,86,,86,,75,66,0.09210526315789473
48327828786,2025-02-09T09:26:30Z,75,,75,,82,66,0.104638619201726
48317627082,2025-02-08T08:21:30Z,70,,70,,70,65,0.1011378002528445
48309790100,2025-02-07T07:54:30Z,73,,73,,79,64,0.08216216216216216
48299784504,2025-02-06T08:15:00Z,81,,81,,122,64,0.11658291457286432
48289163723,2025-02-05T08:58:30Z,76,,76,,68,64,0.09746192893401015
48279889184,2025-02-04T07:52:00Z,70,,70,,69,64,0.08598726114649681
48269178901,2025-02-03T07:47:00Z,77,,77,,85,66,0.08661417322834646
48258025108,2025-02-02T08:36:30Z,78,,78,,72,68,0.0721951219512195
48249768686,2025-02-01T08:50:30Z,75,,75,,80,71,0.11123348017621146
48240890758,2025-01-31T07:44:30Z,72,,72,,62,69,0.091324200913242
48231948149,2025-01-30T08:31:30Z,71,,71,,47,70,0.1043360433604336
48221760611,2025-01-29T09:09:30Z,68,,68,,101,68,0.10848549946294307
48211289112,2025-01-28T08:14:30Z,73,,73,,75,66,0.09070034443168772
48202131021,2025-01-27T08:01:00Z,73,,73,,69,67,0.09053069719042664
48192286307,2025-01-26T08:03:30Z,60,,60,,29,65,0.10453648915187377
48182240269,2025-01-25T08:50:00Z,75,,75,,62,64,0.09716599190283401
48173054898,2025-01-24T07:49:00Z,67,,67,,20,64,0.12195121951219512
48163603836,2025-01-23T08:15:30Z,81,,81,,80,64,0.0784313725490196
48155121988,2025-01-22T07:51:30Z,72,,72,,85,62,0.08900523560209424
48046969456,2025-01-11T07:05:00Z,64,,64,,42,61,0.09684684684684684
48036352665,2025-01-10T05:59:30Z,64,,64,,27,62,0.08897742363877822
48027892965,2025-01-09T09:05:00Z,79,,79,,86,62,0.13949433304272013
48018230092,2025-01-08T08:55:00Z,84,,84,,77,63,0.10412926391382406
48007548512,2025-01-07T11:00:00Z,78,,78,,78,65,0.12927191679049035
47986025811,2025-01-05T05:25:00Z,67,,67,,47,62,0.060810810810810814
47976571993,2025-01-04T09:01:30Z,78,,78,,54,63,0.07862679955703211
